SPDR S&P 500 ETF Trust,Last: 447.26,Change:  -1.44
"Date: February 8, 2022, 3:06 AM EST",Bid: 448.1,Ask: 448.13,Size: 5*1,"Volume: 84,472,859"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Feb 07 2022,SPY220207C00448000,0.21,-4.15,0.2,0.22,132952,0.6585,1,0,5283,448.00,SPY220207P00448000,0.3,-1.225,0.33,0.37,229402,0.02,0,0,7990
Mon Feb 07 2022,SPY220207C00449000,0.02,-3.645,0.02,0.03,219405,0.6033,0,0,3138,449.00,SPY220207P00449000,1,-0.84,0.84,1.56,186441,0.02,-1,0,3795
Mon Feb 07 2022,SPY220207C00450000,0.01,-3.03,0,0.01,433056,0.5547,0,0,10085,450.00,SPY220207P00450000,2.1,-0.115,2.09,2.42,137440,0.02,-1,0,12971
Mon Feb 07 2022,SPY220207C00451000,0.01,-2.455,0,0.01,211200,0.5283,0,0,3518,451.00,SPY220207P00451000,3.14,0.5,3.08,3.66,44153,0.02,-1,0,2729
Mon Feb 07 2022,SPY220207C00452000,0.01,-1.95,0,0.01,211774,0.4971,0,0,7898,452.00,SPY220207P00452000,4.34,1.205,4.08,4.66,9748,0.02,-1,0,5602
Mon Feb 07 2022,SPY220207C00453000,0.01,-1.505,0,0.01,93046,0.5908,0,0,7139,453.00,SPY220207P00453000,5.29,1.625,4.54,5.66,2665,0.02,-1,0,3207
Mon Feb 07 2022,SPY220207C00454000,0.01,-1.14,0,0.01,62683,0.6597,0,0,7352,454.00,SPY220207P00454000,7.93,3.62,5.53,6.66,978,0.02,-1,0,2979
Mon Feb 07 2022,SPY220207C00455000,0.01,-0.83,0,0.01,65914,0.7816,0,0,10006,455.00,SPY220207P00455000,7.44,2.44,6.53,7.66,1508,0.02,-1,0,3434
Mon Feb 07 2022,SPY220207C00456000,0.01,-0.585,0,0.01,24626,0.8426,0,0,7431,456.00,SPY220207P00456000,8.19,2.425,7.54,8.66,400,0.02,-1,0,2909
Mon Feb 07 2022,SPY220207C00457000,0.01,-0.405,0,0.01,12830,0.9036,0,0,5543,457.00,SPY220207P00457000,9.28,2.725,8.54,9.66,450,0.02,-1,0,1975
Mon Feb 07 2022,SPY220207C00458000,0.01,-0.275,0,0.01,8047,1.0255,0,0,6708,458.00,SPY220207P00458000,10.57,3.15,9.54,10.73,507,0.02,-1,0,1356
Mon Feb 07 2022,SPY220207C00459000,0.01,-0.175,0,0.01,11101,1.0255,0,0,3611,459.00,SPY220207P00459000,11.21,2.86,10.54,11.61,490,0.02,-1,0,1337
Mon Feb 07 2022,SPY220207C00460000,0.01,-0.115,0,0.01,7444,1.1474,0,0,21430,460.00,SPY220207P00460000,12.25,2.955,11.54,12.73,314,0.02,-1,0,1086
Mon Feb 07 2022,SPY220207C00461000,0.01,-0.075,0,0.01,615,1.2013,0,0,5167,461.00,SPY220207P00461000,11.85,1.62,12.54,13.73,95,0.02,-1,0,350
Mon Feb 07 2022,SPY220207C00462000,0.01,-0.035,0,0.01,450,1.3333,0,0,3769,462.00,SPY220207P00462000,14.8,3.62,13.54,14.73,102,0.02,-1,0,242
Mon Feb 07 2022,SPY220207C00463000,0.01,-0.025,0,0.01,104,1.3499,0,0,3084,463.00,SPY220207P00463000,15.29,3.13,14.54,15.73,68,0.02,-1,0,367
Mon Feb 07 2022,SPY220207C00464000,0.01,-0.015,0,0.01,398,1.4817,0,0,3127,464.00,SPY220207P00464000,16.7,3.55,15.54,16.73,128,0.02,-1,0,458
Mon Feb 07 2022,SPY220207C00465000,0.01,-0.005,0,0.01,234,1.6458,0,0,4149,465.00,SPY220207P00465000,17.16,2.995,16.54,17.73,59,0.02,-1,0,334
Mon Feb 07 2022,SPY220207C00466000,0.01,-0.005,0,0.01,131,1.6473,0,0,3098,466.00,SPY220207P00466000,18.4,3.23,17.54,18.73,29,0.02,-1,0,373
Mon Feb 07 2022,SPY220207C00467000,0.01,-0.005,0,0.01,111,1.6968,0,0,3947,467.00,SPY220207P00467000,20.76,4.59,18.54,19.73,114,0.02,-1,0,576
Mon Feb 07 2022,SPY220207C00468000,0.01,0.005,0,0.01,10,1.7714,0,0,2947,468.00,SPY220207P00468000,18,0.845,19.54,20.73,3,0.02,-1,0,465
Mon Feb 07 2022,SPY220207C00469000,0.01,0.005,0,0.01,6,1.869,0,0,1655,469.00,SPY220207P00469000,21.99,3.825,20.54,21.73,18,0.02,-1,0,310
Mon Feb 07 2022,SPY220207C00470000,0.01,0.005,0,0.01,15,2.001,0,0,4507,470.00,SPY220207P00470000,23.01,3.85,21.54,22.73,45,0.02,-1,0,325
Mon Feb 07 2022,SPY220207C00471000,0.01,0.005,0,0.01,3,2.001,0,0,945,471.00,SPY220207P00471000,21.59,1.425,22.54,23.73,18,0.02,-1,0,163
Mon Feb 07 2022,SPY220207C00472000,0.01,0.005,0,0.01,2,2.001,0,0,3847,472.00,SPY220207P00472000,24.56,3.4,23.54,24.73,402,0.02,-1,0,547
Mon Feb 07 2022,SPY220207C00473000,0.01,0.005,0,0.01,2,2.126,0,0,1750,473.00,SPY220207P00473000,26.12,3.965,24.54,25.73,28,0.02,-1,0,48
Mon Feb 07 2022,SPY220207C00474000,0.01,0,0,0.01,0,2.251,0,0,930,474.00,SPY220207P00474000,26.5,3.345,25.54,26.73,17,0.02,-1,0,76
Mon Feb 07 2022,SPY220207C00475000,0.01,0.005,0,0.01,23,2.251,0,0,2341,475.00,SPY220207P00475000,27.79,3.635,26.54,27.73,193,0.02,-1,0,235
Mon Feb 07 2022,SPY220207C00476000,0.01,0.005,0,0.01,1,2.251,0,0,6374,476.00,SPY220207P00476000,25.67,0.505,27.54,28.73,77,0.02,-1,0,247
Mon Feb 07 2022,SPY220207C00477000,0.01,0.005,0,0.01,1,2.4042,0,0,1777,477.00,SPY220207P00477000,30.73,4.575,28.54,29.73,214,0.02,-1,0,311
Mon Feb 07 2022,SPY220207C00478000,0.01,0.005,0,0.01,10,2.5317,0,0,3813,478.00,SPY220207P00478000,31.64,4.48,29.54,30.73,17,0.02,-1,0,262
Mon Feb 07 2022,SPY220207C00479000,0.01,0,0,0.01,0,2.5372,0,0,3144,479.00,SPY220207P00479000,32.55,4.39,30.54,31.73,11,0.02,-1,0,90
Mon Feb 07 2022,SPY220207C00480000,0.01,0,0,0.01,0,2.5436,0,0,1422,480.00,SPY220207P00480000,32.36,0,31.54,32.73,0,0.02,-1,0,89
Mon Feb 07 2022,SPY220207C00481000,0.01,0.005,0,0.01,1,2.5511,0,0,1047,481.00,SPY220207P00481000,31.95,1.795,32.54,33.73,2,0.02,-1,0,25
Mon Feb 07 2022,SPY220207C00482000,0.01,0,0,0.01,0,2.7998,0,0,734,482.00,SPY220207P00482000,33.29,2.135,33.54,34.73,10,0.02,-1,0,70
Mon Feb 07 2022,SPY220207C00483000,0.01,0,0,0.01,0,2.808,0,0,429,483.00,SPY220207P00483000,33.03,0,34.54,35.73,0,0.02,-1,0,26
Mon Feb 07 2022,SPY220207C00484000,0.01,0,0,0.01,0,2.8177,0,0,645,484.00,SPY220207P00484000,34.33,1.175,35.54,36.73,9,0.02,-1,0,12
Mon Feb 07 2022,SPY220207C00485000,0.01,0.005,0,0.01,1,3.0635,0,0,851,485.00,SPY220207P00485000,28.73,0,36.54,37.73,0,0.02,-1,0,1
Mon Feb 07 2022,SPY220207C00486000,0.01,0,0,0.01,0,3.0744,0,0,1251,486.00,SPY220207P00486000,36.91,1.755,37.54,38.73,21,0.02,-1,0,3
Mon Feb 07 2022,SPY220207C00487000,0.01,0,0,0.01,0,3.0873,0,0,244,487.00,SPY220207P00487000,37.94,1.785,38.54,39.73,1,0.02,-1,0,10
Mon Feb 07 2022,SPY220207C00488000,0.01,0.005,0,0.01,1,3.1027,0,0,121,488.00,SPY220207P00488000,38.15,0,39.54,40.73,0,0.02,-1,0,1
Mon Feb 07 2022,SPY220207C00489000,0.01,0,0,0.01,0,3.121,0,0,139,489.00,SPY220207P00489000,39.94,1.785,40.54,41.73,6,0.02,-1,0,30
Mon Feb 07 2022,SPY220207C00490000,0.01,0.005,0,0.01,1,3.1431,0,0,720,490.00,SPY220207P00490000,39.61,0.45,41.54,42.73,17,0.02,-1,0,30
Mon Feb 07 2022,SPY220207C00491000,0.03,0,0,0.01,0,3.3774,0,0,94,491.00,SPY220207P00491000,36.84,0,42.54,43.73,0,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00492000,0.01,0,0,0.01,0,3.4013,0,0,54,492.00,SPY220207P00492000,42.67,1.515,43.54,44.73,21,0.02,-1,0,7
Mon Feb 07 2022,SPY220207C00493000,0.01,0.005,0,0.01,14,3.43,0,0,73,493.00,SPY220207P00493000,44.12,1.96,44.54,45.73,1,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00494000,0.03,0,0,0.01,0,3.6435,0,0,111,494.00,SPY220207P00494000,47.7,4.515,45.54,46.73,29,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00495000,0.01,0,0,0.01,0,3.6716,0,0,339,495.00,SPY220207P00495000,45.58,1.26,46.54,47.73,10,0.02,-1,0,1
Mon Feb 07 2022,SPY220207C00496000,0.01,0,0,0.01,0,3.7056,0,0,164,496.00,SPY220207P00496000,63.39,0,47.54,48.73,0,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00497000,0.01,0,0,0.01,0,3.747,0,0,572,497.00,SPY220207P00497000,46.87,0,48.54,49.73,0,0.02,-1,0,10
Mon Feb 07 2022,SPY220207C00498000,0.02,0,0,0.01,0,3.751,0,0,758,498.00,SPY220207P00498000,40.5,0,49.54,50.73,0,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00499000,0.01,0,0,0.01,0,4.001,0,0,493,499.00,SPY220207P00499000,49.56,1.24,50.54,51.73,1,0.02,-1,0,4
Mon Feb 07 2022,SPY220207C00500000,0.01,0.005,0,0.01,1,3.751,0,0,6723,500.00,SPY220207P00500000,50.48,1.17,51.54,52.73,1,0.02,-1,0,17
Mon Feb 07 2022,SPY220207C00501000,0.01,0,0,0.01,0,4.001,0,0,134,501.00,SPY220207P00501000,58.84,0,52.54,53.73,0,0.02,-1,0,10
Mon Feb 07 2022,SPY220207C00502000,0.01,0,0,0.01,0,4.001,0,0,255,502.00,SPY220207P00502000,51.49,0,53.54,54.73,0,0.02,-1,0,2
Mon Feb 07 2022,SPY220207C00503000,0.01,0,0,0.01,0,4.001,0,0,935,503.00,SPY220207P00503000,0,0,54.54,55.73,0,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00504000,0.01,0,0,0.01,0,4.001,0,0,223,504.00,SPY220207P00504000,54.06,0,55.54,56.73,0,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00505000,0.01,0,0,0.01,0,4.3598,0,0,286,505.00,SPY220207P00505000,58.26,0,56.54,57.73,0,0.02,-1,0,10
Mon Feb 07 2022,SPY220207C00506000,0.01,0,0,0.01,0,4.4776,0,0,102,506.00,SPY220207P00506000,55.92,0,57.54,58.73,0,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00507000,0.01,0,0,0.01,0,4.342,0,0,191,507.00,SPY220207P00507000,57.65,0,58.54,59.73,0,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00508000,0.01,0,0,0.01,0,4.426,0,0,101,508.00,SPY220207P00508000,0,0,59.54,60.73,0,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00509000,0.01,0,0,0.01,0,4.5217,0,0,37,509.00,SPY220207P00509000,59.77,1.645,60.54,61.73,8,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00510000,0.01,0,0,0.01,0,4.586,0,0,178,510.00,SPY220207P00510000,55.33,0,61.54,62.73,0,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00511000,0.01,0,0,0.01,0,4.5986,0,0,812,511.00,SPY220207P00511000,64.06,0,62.54,63.73,0,0.02,-1,0,10
Mon Feb 07 2022,SPY220207C00512000,0.01,0,0,0.01,0,4.6124,0,0,218,512.00,SPY220207P00512000,0,0,63.54,64.73,0,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00513000,0.01,0,0,0.01,0,4.6276,0,0,528,513.00,SPY220207P00513000,63.53,1.405,64.54,65.73,10,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00514000,0.01,0,0,0.01,0,4.6443,0,0,896,514.00,SPY220207P00514000,0,0,65.54,66.73,0,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00515000,0.01,0,0,0.01,0,4.6628,0,0,607,515.00,SPY220207P00515000,65.53,1.405,66.54,67.73,2,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00516000,0.01,0,0,0.01,0,4.903,0,0,20,516.00,SPY220207P00516000,0,0,67.54,68.73,0,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00517000,0.01,0,0,0.01,0,5.1379,0,0,614,517.00,SPY220207P00517000,67.22,0,68.54,69.73,0,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00518000,0.01,0,0,0.01,0,5.155,0,0,826,518.00,SPY220207P00518000,0,0,69.54,70.73,0,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00519000,0.01,0,0,0.01,0,5.1741,0,0,612,519.00,SPY220207P00519000,0,0,70.54,71.73,0,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00520000,0.01,0,0,0.01,0,5.1956,0,0,540,520.00,SPY220207P00520000,0,0,71.54,72.73,0,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00521000,0.01,0,0,0.01,0,5.2197,0,0,323,521.00,SPY220207P00521000,0,0,72.54,73.73,0,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00522000,0.02,0,0,0.01,0,5.2468,0,0,49,522.00,SPY220207P00522000,0,0,73.54,74.73,0,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00523000,0.01,0,0,0.01,0,5.2774,0,0,386,523.00,SPY220207P00523000,0,0,74.54,75.73,0,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00524000,0.01,0,0,0.01,0,5.3119,0,0,122,524.00,SPY220207P00524000,65.9,0,75.54,76.73,0,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00525000,0.01,0,0,0.01,0,5.3509,0,0,1906,525.00,SPY220207P00525000,76.93,0,76.54,77.73,0,0.02,-1,0,50
Mon Feb 07 2022,SPY220207C00530000,0.01,0,0,0.01,0,5.751,0,0,98,530.00,SPY220207P00530000,71.92,0,81.54,82.73,0,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00535000,0,0,0,0.01,0,6.001,0,0,0,535.00,SPY220207P00535000,0,0,86.54,87.73,0,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00540000,0.01,0,0,0.01,0,6.0961,0,0,2,540.00,SPY220207P00540000,90.74,1.565,91.54,92.73,10,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00550000,0.01,0,0,0.01,0,6.7499,0,0,298,550.00,SPY220207P00550000,0,0,101.54,102.73,0,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00560000,0,0,0,0.01,0,7.4186,0,0,0,560.00,SPY220207P00560000,0,0,111.54,112.73,0,0.02,-1,0,0
Mon Feb 07 2022,SPY220207C00570000,0.01,0,0,0.01,0,8.001,0,0,3,570.00,SPY220207P00570000,0,0,121.54,122.73,0,0.02,-1,0,0
